Index,Time [s],P [mbar],AX [m/s2],AY [m/s2],AZ [m/s2],AMag [m/s2]
0,0.0,983.3,0.1,-0.7,-1.8,1.93
1,0.00048828125,983.3,-1.0,-0.4,1.3,1.69
2,0.0009765625,983.3,0.5,1.7,-2.0,2.67
3,0.00146484375,983.3,-0.8,-1.9,-1.2,2.39
4,0.001953125,983.3,0.1,-0.3,-1.8,1.83
5,0.00244140625,983.3,-1.6,-3.1,-1.4,3.76
6,0.0029296875,983.3,0.6,0.9,-3.5,3.66
7,0.00341796875,983.3,-1.0,-1.3,0.5,1.71
8,0.00390625,983.3,1.2,0.9,-1.8,2.34
9,0.00439453125,983.3,0.3,-0.4,-0.1,0.51
10,0.0048828125,983.3,0.5,1.7,-1.8,2.53
11,0.00537109375,983.3,-0.8,-1.3,-1.0,1.82
12,0.005859375,983.3,1.0,0.1,-2.1,2.33
13,0.00634765625,983.3,-1.2,-1.7,-0.4,2.12
14,0.0068359375,983.3,0.8,0.5,-2.0,2.21
15,0.00732421875,983.3,-1.6,-1.9,-0.4,2.52
16,0.0078125,983.3,0.5,2.3,-2.9,3.73
17,0.00830078125,983.3,-0.1,-2.3,0.9,2.47
18,0.0087890625,983.3,0.6,1.5,-3.3,3.67
19,0.00927734375,983.3,-0.6,0.4,-0.6,0.94
20,0.009765625,983.3,0.3,1.1,-3.5,3.68
21,0.01025390625,983.3,-2.0,-1.9,-0.1,2.76
22,0.0107421875,983.3,-1.3,1.5,-2.0,2.82
23,0.01123046875,983.3,-1.0,-0.9,-0.2,1.36
24,0.01171875,983.3,0.3,1.1,-2.7,2.93
25,0.01220703125,983.3,-0.4,-0.7,0.1,0.81
26,0.0126953125,983.3,1.0,0.7,-3.1,3.33
27,0.01318359375,983.3,-0.1,-0.5,0.1,0.52
28,0.013671875,983.3,1.2,0.7,-2.5,2.86
29,0.01416015625,983.3,-0.1,-2.1,0.9,2.29
30,0.0146484375,983.3,-0.3,0.7,-3.1,3.19
31,0.01513671875,983.3,-1.2,-1.5,-2.0,2.77
32,0.015625,983.3,1.0,0.9,-3.1,3.38
33,0.01611328125,983.3,-0.4,-1.7,-1.4,2.24
34,0.0166015625,983.3,1.0,2.1,-2.0,3.07
35,0.01708984375,983.3,-1.6,-0.2,1.9,2.49
36,0.017578125,983.3,0.3,1.9,-3.1,3.65
37,0.01806640625,983.3,-1.2,-0.4,-1.2,1.74
38,0.0185546875,983.3,0.6,0.5,-2.5,2.62
39,0.01904296875,983.3,-1.0,-1.7,-0.2,1.98
40,0.01953125,983.3,1.2,1.7,-2.0,2.89
41,0.02001953125,983.3,-0.3,-1.5,-0.4,1.58
42,0.0205078125,983.3,1.4,0.3,-2.9,3.23
43,0.02099609375,983.3,-0.8,-0.9,-1.4,1.85
44,0.021484375,983.3,1.2,1.5,-2.1,2.85
45,0.02197265625,983.3,-1.6,-0.4,-1.8,2.44
46,0.0224609375,983.3,1.2,1.1,-1.8,2.43
47,0.02294921875,983.3,-0.4,-2.5,0.9,2.69
48,0.0234375,983.3,0.6,1.5,-2.3,2.81
49,0.02392578125,983.3,-0.8,0.8,0.1,1.14
50,0.0244140625,983.3,-0.7,1.1,-3.1,3.36
51,0.02490234375,983.3,0.7,-1.7,-1.6,2.44
52,0.025390625,983.3,0.5,-1.3,-1.6,2.12
53,0.02587890625,983.3,-1.6,-0.5,0.3,1.7
54,0.0263671875,983.3,0.1,0.9,-2.9,3.04
55,0.02685546875,983.3,-0.8,-1.5,-0.2,1.71
56,0.02734375,983.3,1.6,-0.1,-2.9,3.31
57,0.02783203125,983.3,-0.6,-1.5,0.1,1.62
58,0.0283203125,983.3,0.1,-0.1,-2.7,2.7
59,0.02880859375,983.3,-1.2,0.0,-0.1,1.2
60,0.029296875,983.3,0.3,1.1,-2.7,2.93
61,0.02978515625,983.3,0.1,-0.2,-0.6,0.64
62,0.0302734375,983.3,0.3,0.9,-1.0,1.38
63,0.03076171875,983.2,0.1,-1.9,-0.6,1.99
64,0.03125,983.2,2.0,1.3,-3.1,3.91
65,0.03173828125,983.2,-1.8,-1.3,-0.1,2.22
66,0.0322265625,983.2,1.6,-1.8,-2.7,3.62
67,0.03271484375,983.2,-0.3,-1.3,0.9,1.61
68,0.033203125,983.2,1.0,1.9,-1.4,2.56
69,0.03369140625,983.2,-0.1,-1.7,-2.4,2.94
70,0.0341796875,983.2,1.0,1.5,-3.1,3.59
71,0.03466796875,983.2,-0.6,-0.9,-1.2,1.62
72,0.03515625,983.2,1.4,-0.1,-1.8,2.28
73,0.03564453125,983.2,-0.6,-0.5,-0.1,0.79
74,0.0361328125,983.2,0.3,1.9,-2.7,3.32
75,0.03662109375,983.2,-0.6,-1.3,-3.2,3.51
76,0.037109375,983.2,0.5,1.9,-1.8,2.66
77,0.03759765625,983.2,-1.4,-1.7,-0.6,2.28
78,0.0380859375,983.2,1.2,0.5,-1.6,2.06
79,0.03857421875,983.2,0.3,-2.1,-0.6,2.2
80,0.0390625,983.2,0.6,1.1,-2.9,3.16
81,0.03955078125,983.2,-1.2,-0.5,0.1,1.3
82,0.0400390625,983.2,1.0,2.7,-2.7,3.95
83,0.04052734375,983.1,-1.8,-1.5,-0.2,2.35
84,0.041015625,983.1,1.6,0.9,-2.9,3.43
85,0.04150390625,983.1,0.1,-2.9,-0.6,2.96
86,0.0419921875,983.1,0.6,-0.3,-1.6,1.73
87,0.04248046875,983.1,-2.2,-1.3,0.1,2.56
88,0.04296875,983.1,2.0,-0.1,-2.5,3.2
89,0.04345703125,983.1,-2.4,0.6,-0.6,2.55
90,0.0439453125,983.1,1.2,0.3,-1.8,2.18
91,0.04443359375,983.1,-1.2,-0.5,-0.2,1.32
92,0.044921875,983.1,0.8,-0.5,-2.3,2.49
93,0.04541015625,983.1,-1.2,-1.9,-0.6,2.33
94,0.0458984375,983.1,0.1,0.7,-2.3,2.41
95,0.04638671875,983.1,-1.0,-0.2,-0.6,1.18
96,0.046875,983.1,-0.3,0.5,-3.3,3.35
97,0.04736328125,983.1,-1.2,-1.7,-1.2,2.4
98,0.0478515625,983.1,0.3,0.3,-3.3,3.33
99,0.04833984375,983.1,0.5,-1.7,0.7,1.91
100,0.048828125,983.1,-0.1,0.7,-2.9,2.98
101,0.04931640625,983.1,0.1,-1.1,-0.6,1.26
102,0.0498046875,983.1,1.2,-0.1,-1.2,1.7
103,0.05029296875,983.1,-0.4,-1.5,1.3,2.02
104,0.05078125,983.0,1.2,2.1,-2.7,3.62
105,0.05126953125,983.0,-1.0,-1.1,-1.2,1.91
106,0.0517578125,983.0,1.2,0.7,-2.3,2.69
107,0.05224609375,983.0,-1.2,0.2,-1.2,1.71
108,0.052734375,983.0,1.6,1.7,-2.0,3.07
109,0.05322265625,983.0,-0.4,-2.5,-2.2,3.35
110,0.0537109375,983.0,1.2,0.5,-3.9,4.11
111,0.05419921875,983.0,-0.3,-2.1,0.3,2.14
112,0.0546875,983.0,-0.9,0.7,-2.5,2.75
113,0.05517578125,983.0,-1.2,0.4,-1.2,1.74
114,0.0556640625,983.0,2.2,-0.5,-1.8,2.89
115,0.05615234375,983.0,-0.4,-1.9,0.3,1.96
116,0.056640625,983.0,1.2,0.7,-2.5,2.86
117,0.05712890625,983.0,-1.4,-0.2,-0.6,1.54
118,0.0576171875,983.0,0.6,0.9,-3.1,3.28
119,0.05810546875,983.0,-1.6,-0.7,-0.8,1.92
120,0.05859375,983.0,0.5,1.5,-2.7,3.13
121,0.05908203125,983.0,-1.0,-0.7,0.3,1.26
122,0.0595703125,983.0,0.3,1.5,-1.8,2.36
123,0.06005859375,983.0,-1.6,-1.7,-1.6,2.83
124,0.060546875,983.0,0.1,1.7,-2.9,3.36
125,0.06103515625,983.0,-1.8,-0.9,0.9,2.2
126,0.0615234375,983.0,0.1,0.7,-2.5,2.6
127,0.06201171875,983.0,-0.3,-2.1,-2.2,3.06
